Time,MPOS(0),DPOS(0),DRIVE_FE(0)
0.362,158.72201,158.722,-1.04904e-05
0.363,158.722,158.722,2.38419e-06
0.364,158.72201,158.722,-1.38283e-05
0.365,158.72199,158.722,7.15256e-06
0.366,158.72201,158.722,-1.4782e-05
0.367,158.722,158.722,-1.43051e-06
0.368,158.722,158.722,-2.86102e-06
0.369,158.72201,158.722,-1.14441e-05
0.37,158.72202,158.722,-1.4782e-05
0.371,158.722,158.722,-4.29153e-06
0.372,158.722,158.722,-3.33786e-06
0.373,158.72199,158.722,1.71661e-05
0.374,158.722,158.722,-3.33786e-06
0.375,158.722,158.722,3.8147e-06
0.376,158.72201,158.722,-6.67572e-06
0.377,158.72199,158.722,8.58307e-06
0.378,158.722,158.722,0.0
0.379,158.722,158.722,2.86102e-06
0.38,158.72201,158.722,-1.90735e-06
0.381,158.722,158.722,-2.38419e-06
0.382,158.72201,158.722,-1.23978e-05
0.383,158.72201,158.722,-7.15256e-06
0.384,158.722,158.722,4.76837e-07
0.385,158.72201,158.722,-4.76837e-06
0.386,158.722,158.722,5.72205e-06
0.387,158.72201,158.722,-5.24521e-06
0.388,158.72199,158.722,3.33786e-06
0.389,158.722,158.722,0.0
0.39,158.72199,158.722,6.67572e-06
0.391,158.72199,158.722,1.04904e-05
0.392,158.722,158.722,0.0
0.393,158.722,158.722,-9.53674e-07
0.394,158.722,158.722,-2.38419e-06
0.395,158.722,158.722,2.86102e-06
0.396,158.722,158.722,-6.19888e-06
0.397,158.722,158.722,-1.90735e-06
0.398,158.722,158.722,-4.76837e-07
0.399,158.722,158.722,3.33786e-06
0.4,158.72201,158.722,-4.76837e-06
0.401,158.72201,158.722,-6.67572e-06
0.402,158.72201,158.722,-9.05991e-06
0.403,158.722,158.722,-3.33786e-06
0.404,158.72199,158.722,1.52588e-05
0.405,158.722,158.722,1.43051e-06
0.406,158.722,158.722,0.0
0.407,158.722,158.722,0.0
0.408,158.72201,158.722,-1.04904e-05
0.409,158.72201,158.722,-1.00136e-05
0.41,158.722,158.722,-4.76837e-07
0.411,158.72201,158.722,-7.15256e-06
0.412,158.72201,158.722,-1.14441e-05
0.413,158.722,158.722,4.76837e-06
0.414,158.72201,158.722,-8.10623e-06
0.415,158.72199,158.722,5.24521e-06
0.416,158.722,158.722,1.43051e-06
0.417,158.722,158.722,5.72205e-06
0.418,158.722,158.722,0.0
0.419,158.72199,158.722,1.14441e-05
0.42,158.72199,158.722,7.62939e-06
0.421,158.722,158.722,1.43051e-06
0.422,158.722,158.722,-4.76837e-06
0.423,158.722,158.722,-2.38419e-06
0.424,158.72199,158.722,9.53674e-06
0.425,158.72199,158.722,8.10623e-06
0.426,158.72199,158.722,5.72205e-06
0.427,158.722,158.722,2.38419e-06
0.428,158.722,158.722,-3.8147e-06
0.429,158.722,158.722,4.76837e-07
0.43,158.722,158.722,-6.19888e-06
0.431,158.722,158.722,-9.53674e-07
0.432,158.722,158.722,0.0
0.433,158.722,158.722,2.38419e-06
0.434,158.72199,158.722,8.58307e-06
0.435,158.72199,158.722,6.67572e-06
0.436,158.722,158.722,4.76837e-07
0.437,158.722,158.722,9.53674e-07
0.438,158.722,158.722,-2.38419e-06
0.439,158.72201,158.722,-1.04904e-05
0.44,158.72201,158.722,-4.76837e-06
0.441,158.72201,158.722,-9.53674e-06
0.442,158.722,158.722,-9.53674e-07
0.443,158.72201,158.722,-5.24521e-06
0.444,158.722,158.722,-2.86102e-06
0.445,158.72201,158.722,-5.72205e-06
0.446,158.722,158.722,2.38419e-06
0.447,158.722,158.722,5.72205e-06
0.448,158.72201,158.722,-8.10623e-06
0.449,158.722,158.722,9.53674e-07
0.45,158.722,158.722,3.33786e-06
0.451,158.722,158.722,2.38419e-06
0.452,158.722,158.722,1.90735e-06
0.453,158.72199,158.722,1.09673e-05
0.454,158.722,158.722,3.33786e-06
0.455,158.72199,158.722,7.15256e-06
0.456,158.722,158.722,0.0
0.457,158.722,158.722,-4.76837e-07
0.458,158.722,158.722,0.0
0.459,158.722,158.722,3.8147e-06
0.46,158.72199,158.722,1.04904e-05
0.461,158.722,158.722,9.53674e-07
0.462,158.72199,158.722,5.24521e-06
0.463,158.722,158.722,2.86102e-06
0.464,158.722,158.722,-3.8147e-06
0.465,158.72199,158.722,6.19888e-06
0.466,158.722,158.722,0.0
0.467,158.72199,158.722,3.33786e-06
0.468,158.72201,158.722,-4.76837e-06
0.469,158.72199,158.722,5.24521e-06
0.47,158.72201,158.722,-8.10623e-06
0.471,158.722,158.722,-4.29153e-06
0.472,158.722,158.722,2.86102e-06
0.473,158.72201,158.722,-8.58307e-06
0.474,158.72199,158.722,1.09673e-05
