Time,DPOS(0),MPOS(0),MSPEED(0),DRIVE_FE(0)
0.443,83.96865,83.96865,0.0,0.0
0.444,83.96865,83.96865,0.0,0.0
0.445,83.96865,83.96865,0.00048,0.0
0.446,83.96865,83.96865,-0.00095,0.0
0.447,83.96865,83.96865,0.00095,0.0
0.448,83.96865,83.96865,-0.00095,0.0
0.449,83.96865,83.96865,0.00048,0.0
0.45,83.96865,83.96865,0.0,0.0
0.451,83.96865,83.96865,-0.00048,0.0
0.452,83.96865,83.96865,0.00095,0.0
0.453,83.96865,83.96865,-0.00048,0.0
0.454,83.96865,83.96865,0.00095,0.0
0.455,83.96865,83.96865,-0.00048,0.0
0.456,83.96865,83.96865,-0.00048,0.0
0.457,83.96865,83.96865,0.00048,0.0
0.458,83.96865,83.96865,-0.00048,0.0
0.459,83.96865,83.96865,0.0,0.0
0.46,83.96865,83.96865,0.00095,0.0
0.461,83.96865,83.96865,-0.00095,0.0
0.462,83.96865,83.96865,0.00048,0.0
0.463,83.96865,83.96865,0.0,0.0
0.464,83.96865,83.96865,-0.00048,0.0
0.465,83.96865,83.96865,0.0,0.0
0.466,83.96865,83.96865,0.00048,0.0
0.467,83.96865,83.96865,-0.00048,0.0
0.468,83.96865,83.96865,0.00048,0.0
0.469,83.96865,83.96865,0.0,0.0
0.47,83.96865,83.96865,0.0,0.0
0.471,83.96865,83.96865,-0.00048,0.0
0.472,83.96865,83.96865,0.00048,0.0
0.473,83.96865,83.96865,0.00048,0.0
0.474,83.96865,83.96865,-0.00143,0.0
0.475,83.96865,83.96865,0.00095,0.0
0.476,83.96865,83.96865,0.0,0.0
0.477,83.96865,83.96865,-0.00048,0.0
0.478,83.96865,83.96865,0.0,0.0
0.479,83.96865,83.96865,0.0,0.0
0.48,83.96865,83.96865,0.00048,0.0
0.481,83.96865,83.96865,0.0,0.0
0.482,83.96865,83.96865,-0.00048,0.0
0.483,83.96865,83.96865,0.00048,0.0
0.484,83.96865,83.96865,-0.00048,0.0
0.485,83.96865,83.96865,0.0,0.0
0.486,83.96865,83.96865,0.0,0.0
0.487,83.96865,83.96865,0.00048,0.0
0.488,83.96865,83.96865,-0.00048,0.0
0.489,83.96865,83.96865,0.0,0.0
0.49,83.96865,83.96865,0.0,0.0
0.491,83.96865,83.96865,0.0,0.0
0.492,83.96865,83.96865,-0.00048,0.0
0.493,83.96865,83.96865,0.00095,0.0
0.494,83.96865,83.96865,-0.00095,0.0
0.495,83.96865,83.96865,0.00048,0.0
0.496,83.96865,83.96865,-0.00048,0.0
0.497,83.96865,83.96865,0.00048,0.0
0.498,83.96865,83.96865,0.0,0.0
0.499,83.96865,83.96865,0.0,0.0
0.5,83.96865,83.96865,0.0,0.0
0.501,83.96865,83.96865,0.0,0.0
0.502,83.96865,83.96865,0.00048,0.0
0.503,83.96865,83.96865,0.0,0.0
0.504,83.96865,83.96865,-0.00048,0.0
0.505,83.96865,83.96865,0.00095,0.0
0.506,83.96865,83.96865,0.0,0.0
0.507,83.96865,83.96865,-0.00048,0.0
0.508,83.96865,83.96865,-0.00048,0.0
0.509,83.96865,83.96865,0.00048,0.0
0.51,83.96865,83.96865,0.0,0.0
0.511,83.96865,83.96865,0.00048,0.0
0.512,83.96865,83.96865,-0.00095,0.0
0.513,83.96865,83.96865,0.0,0.0
0.514,83.96865,83.96865,0.00048,0.0
0.515,83.96865,83.96865,0.0,0.0
0.516,83.96865,83.96865,-0.00048,0.0
0.517,83.96865,83.96865,0.00048,0.0
0.518,83.96865,83.96865,0.0,0.0
0.519,83.96865,83.96865,0.0,0.0
0.52,83.96865,83.96865,-0.00048,0.0
0.521,83.96865,83.96865,0.00095,0.0
0.522,83.96865,83.96865,-0.00095,0.0
0.523,83.96865,83.96865,0.0,0.0
0.524,83.96865,83.96865,0.00048,0.0
0.525,83.96865,83.96865,-0.00048,0.0
0.526,83.96865,83.96865,0.0,0.0
0.527,83.96865,83.96865,0.0,0.0
0.528,83.96865,83.96865,0.00048,0.0
0.529,83.96865,83.96865,-0.00048,0.0
0.53,83.96865,83.96865,0.00048,0.0
0.531,83.96865,83.96865,-0.00048,0.0
0.532,83.96865,83.96865,0.00048,0.0
0.533,83.96865,83.96865,-0.00048,0.0
0.534,83.96865,83.96865,0.00048,0.0
0.535,83.96865,83.96865,0.0,0.0
0.536,83.96865,83.96865,0.0,0.0
0.537,83.96865,83.96865,0.0,0.0
0.538,83.96865,83.96865,0.0,0.0
0.539,83.96865,83.96865,-0.00048,0.0
0.54,83.96865,83.96865,0.00095,0.0
0.541,83.96865,83.96865,-0.00048,0.0
0.542,83.96865,83.96865,0.0,0.0
0.543,83.96865,83.96865,0.0,0.0
0.544,83.96865,83.96865,0.00048,0.0
0.545,83.96865,83.96865,-0.00048,0.0
0.546,83.96865,83.96865,0.0,0.0
0.547,83.96865,83.96865,0.00095,0.0
0.548,83.96865,83.96865,-0.00048,0.0
0.549,83.96865,83.96865,-0.00048,0.0
0.55,83.96865,83.96865,0.0,0.0
0.551,83.96865,83.96865,0.0,0.0
0.552,83.96865,83.96865,0.0,0.0
0.553,83.96865,83.96865,0.0,0.0
0.554,83.96865,83.96865,0.00048,0.0
0.555,83.96865,83.96865,-0.00048,0.0
0.556,83.96865,83.96865,0.0,0.0
0.557,83.96865,83.96865,0.00048,0.0
0.558,83.96865,83.96865,-0.00048,0.0
0.559,83.96865,83.96865,-0.00048,0.0
0.56,83.96865,83.96865,0.00048,0.0
0.561,83.96865,83.96865,0.0,0.0
0.562,83.96865,83.96865,0.0,0.0
0.563,83.96865,83.96865,0.00048,0.0
0.564,83.96865,83.96865,-0.00048,0.0
0.565,83.96865,83.96865,0.0,0.0
0.566,83.96865,83.96865,0.00048,0.0
0.567,83.96865,83.96865,0.0,0.0
0.568,83.96865,83.96865,-0.00048,0.0
0.569,83.96865,83.96865,0.00048,0.0
0.57,83.96865,83.96865,-0.00048,0.0
0.571,83.96865,83.96865,0.0,0.0
0.572,83.96865,83.96865,0.0,0.0
0.573,83.96865,83.96865,0.00048,0.0
0.574,83.96865,83.96865,-0.00048,0.0
0.575,83.96865,83.96865,0.00048,0.0
0.576,83.96865,83.96865,-0.00095,0.0
0.577,83.96865,83.96865,0.0,0.0
0.578,83.96865,83.96865,0.00048,0.0
0.579,83.96865,83.96865,-0.00048,0.0
0.58,83.96865,83.96865,0.0,0.0
