Time,DRIVE_FE(0),MSPEED(0),DRIVE_CURRENT(0),DPOS(0)
4.18,0.00992,127.93589,752.0,95.85114
4.19,-0.03591,134.19819,595.0,97.15114
4.2,0.00131,125.49925,787.0,98.45114
4.21,0.02701,129.83179,757.0,99.75114
4.22,-0.03759,139.68229,529.0,101.05114
4.23,-0.01655,123.15702,753.0,102.35114
4.24,0.01374,126.72281,743.0,103.65114
4.25,-0.02805,139.60981,566.0,104.95114
4.26,-0.00781,124.38297,757.0,106.25114
4.27,0.01855,127.6722,739.0,107.55114
4.28,-0.05101,140.203,457.0,108.85114
4.29,-0.0104,121.87243,769.0,110.15114
4.3,0.02174,125.83971,745.0,111.45114
4.31,-0.03392,138.88502,488.0,112.75114
4.32,0.00259,125.76246,763.0,114.05114
4.33,0.01691,128.29828,699.0,115.35114
4.34,0.00493,135.52999,654.0,116.65114
4.35,0.01172,123.75355,769.0,117.95114
4.36,0.04168,128.51286,769.0,119.25114
4.37,-0.0014,138.78965,575.0,120.55114
4.38,-0.03603,123.36397,653.0,121.85114
4.39,0.00681,127.71893,731.0,123.15114
4.4,-0.00031,133.27074,665.0,124.45114
4.41,-0.01298,125.48161,703.0,125.75114
4.42,0.0262,129.33779,764.0,127.05114
4.43,-0.01128,136.62863,585.0,128.35114
4.44,-0.04086,123.00062,642.0,129.65114
4.45,0.00209,126.12963,717.0,130.95114
4.46,0.00668,132.99656,670.0,132.25114
4.47,-0.03395,120.8849,607.0,133.55114
4.48,0.01796,129.97866,718.0,134.85114
4.49,0.01533,135.76841,657.0,136.15114
4.5,-0.06598,123.45934,509.0,137.45114
4.51,0.01434,128.31259,756.0,138.75114
4.52,0.02909,133.19302,689.0,140.05114
4.53,-0.02681,129.27914,578.0,141.35114
4.54,0.02079,126.16253,764.0,142.65114
4.55,0.02796,134.76706,684.0,143.95114
4.56,-0.03374,129.6401,586.0,145.25114
4.57,0.00865,128.23629,725.0,146.55114
4.58,0.02237,130.08738,723.0,147.85114
4.59,-0.04038,129.93526,530.0,149.15114
4.6,0.01977,127.63214,777.0,150.45114
4.61,0.03817,129.46749,741.0,151.75114
4.62,-0.03103,134.7723,553.0,153.05114
4.63,0.00813,125.97942,780.0,154.35114
4.64,0.02418,130.07355,715.0,155.65114
4.65,-0.01244,137.61616,594.0,156.95114
4.66,-0.02039,126.23882,670.0,158.25114
4.67,0.00886,129.06027,708.0,159.55114
4.68,-0.0543,140.00177,500.0,160.85114
4.69,-0.00425,122.67447,768.0,162.15114
4.7,0.03121,127.36988,745.0,163.45114
4.71,-0.00675,141.00647,556.0,164.75114
4.72,-0.00016,126.72377,726.0,166.05114
4.73,0.03083,128.10802,747.0,167.35114
4.74,0.00453,136.05118,595.0,168.65114
4.75,-0.00858,125.16546,707.0,169.95114
4.76,0.03002,128.22008,760.0,171.25114
4.77,0.00799,135.82277,629.0,172.55114
4.78,-0.03915,123.42739,625.0,173.85114
4.79,0.01535,131.05488,746.0,175.15114
4.8,-0.00311,138.39006,623.0,176.45114
4.81,-0.03041,125.52595,673.0,177.75114
4.82,-0.00635,128.32928,698.0,179.05114
4.83,0.00822,135.65969,656.0,180.35114
4.84,-0.01286,123.64769,685.0,181.65114
4.85,0.01457,126.93167,696.0,182.95114
