Time,DPOS(0),MSPEED(0),DRIVE_FE(0),DEMAND_SPEED(0),DEMAND_SPEED_NORMALISED(0)
0.247,-582422454.0,1000.0,0.0,1.0,1000.0
0.248,-582422455.0,-1000.0,0.0,-1.0,-1000.0
0.249,-582422455.0,0.0,0.0,0.0,0.0
0.25,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.251,-582422456.0,0.0,0.0,0.0,0.0
0.252,-582422455.0,1000.0,0.0,1.0,1000.0
0.253,-582422455.0,0.0,0.0,0.0,0.0
0.254,-582422455.0,0.0,0.0,0.0,0.0
0.255,-582422455.0,0.0,0.0,0.0,0.0
0.256,-582422455.0,0.0,0.0,0.0,0.0
0.257,-582422455.0,0.0,0.0,0.0,0.0
0.258,-582422455.0,0.0,0.0,0.0,0.0
0.259,-582422455.0,0.0,0.0,0.0,0.0
0.26,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.261,-582422455.0,1000.0,0.0,1.0,1000.0
0.262,-582422455.0,0.0,0.0,0.0,0.0
0.263,-582422455.0,0.0,0.0,0.0,0.0
0.264,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.265,-582422454.0,2000.0,0.0,2.0,2000.0
0.266,-582422455.0,-1000.0,0.0,-1.0,-1000.0
0.267,-582422455.0,0.0,0.0,0.0,0.0
0.268,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.269,-582422455.0,1000.0,0.0,1.0,1000.0
0.27,-582422454.0,1000.0,0.0,1.0,1000.0
0.271,-582422455.0,-1000.0,0.0,-1.0,-1000.0
0.272,-582422454.0,1000.0,0.0,1.0,1000.0
0.273,-582422454.0,0.0,0.0,0.0,0.0
0.274,-582422455.0,-1000.0,0.0,-1.0,-1000.0
0.275,-582422455.0,0.0,0.0,0.0,0.0
0.276,-582422455.0,0.0,0.0,0.0,0.0
0.277,-582422455.0,0.0,0.0,0.0,0.0
0.278,-582422454.0,1000.0,0.0,1.0,1000.0
0.279,-582422454.0,0.0,0.0,0.0,0.0
0.28,-582422455.0,-1000.0,0.0,-1.0,-1000.0
0.281,-582422454.0,1000.0,0.0,1.0,1000.0
0.282,-582422454.0,0.0,0.0,0.0,0.0
0.283,-582422454.0,0.0,0.0,0.0,0.0
0.284,-582422453.0,1000.0,0.0,1.0,1000.0
0.285,-582422455.0,-2000.0,0.0,-2.0,-2000.0
0.286,-582422455.0,0.0,0.0,0.0,0.0
0.287,-582422455.0,0.0,0.0,0.0,0.0
0.288,-582422455.0,0.0,0.0,0.0,0.0
0.289,-582422454.0,1000.0,0.0,1.0,1000.0
0.29,-582422455.0,-1000.0,0.0,-1.0,-1000.0
0.291,-582422455.0,0.0,0.0,0.0,0.0
0.292,-582422455.0,0.0,0.0,0.0,0.0
0.293,-582422455.0,0.0,0.0,0.0,0.0
0.294,-582422455.0,0.0,0.0,0.0,0.0
0.295,-582422455.0,0.0,0.0,0.0,0.0
0.296,-582422454.0,1000.0,0.0,1.0,1000.0
0.297,-582422455.0,-1000.0,0.0,-1.0,-1000.0
0.298,-582422455.0,0.0,0.0,0.0,0.0
0.299,-582422454.0,1000.0,0.0,1.0,1000.0
0.3,-582422454.0,0.0,0.0,0.0,0.0
0.301,-582422455.0,-1000.0,0.0,-1.0,-1000.0
0.302,-582422454.0,1000.0,0.0,1.0,1000.0
0.303,-582422455.0,-1000.0,0.0,-1.0,-1000.0
0.304,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.305,-582422456.0,0.0,0.0,0.0,0.0
0.306,-582422456.0,0.0,0.0,0.0,0.0
0.307,-582422455.0,1000.0,0.0,1.0,1000.0
0.308,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.309,-582422455.0,1000.0,0.0,1.0,1000.0
0.31,-582422455.0,0.0,0.0,0.0,0.0
0.311,-582422457.0,-2000.0,0.0,-2.0,-2000.0
0.312,-582422454.0,3000.0,0.0,3.0,3000.0
0.313,-582422456.0,-2000.0,0.0,-2.0,-2000.0
0.314,-582422456.0,0.0,0.0,0.0,0.0
0.315,-582422455.0,1000.0,0.0,1.0,1000.0
0.316,-582422454.0,1000.0,0.0,1.0,1000.0
0.317,-582422456.0,-2000.0,0.0,-2.0,-2000.0
0.318,-582422455.0,1000.0,0.0,1.0,1000.0
0.319,-582422455.0,0.0,0.0,0.0,0.0
0.32,-582422454.0,1000.0,0.0,1.0,1000.0
0.321,-582422455.0,-1000.0,0.0,-1.0,-1000.0
0.322,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.323,-582422456.0,0.0,0.0,0.0,0.0
0.324,-582422455.0,1000.0,0.0,1.0,1000.0
0.325,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.326,-582422455.0,1000.0,0.0,1.0,1000.0
0.327,-582422455.0,0.0,0.0,0.0,0.0
0.328,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.329,-582422455.0,1000.0,0.0,1.0,1000.0
0.33,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.331,-582422455.0,1000.0,0.0,1.0,1000.0
0.332,-582422455.0,0.0,0.0,0.0,0.0
0.333,-582422455.0,0.0,0.0,0.0,0.0
0.334,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.335,-582422455.0,1000.0,0.0,1.0,1000.0
0.336,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.337,-582422455.0,1000.0,0.0,1.0,1000.0
0.338,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.339,-582422455.0,1000.0,0.0,1.0,1000.0
0.34,-582422455.0,0.0,0.0,0.0,0.0
0.341,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.342,-582422455.0,1000.0,0.0,1.0,1000.0
0.343,-582422455.0,0.0,0.0,0.0,0.0
0.344,-582422455.0,0.0,0.0,0.0,0.0
0.345,-582422455.0,0.0,0.0,0.0,0.0
0.346,-582422455.0,0.0,0.0,0.0,0.0
0.347,-582422455.0,0.0,0.0,0.0,0.0
0.348,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.349,-582422456.0,0.0,0.0,0.0,0.0
0.35,-582422456.0,0.0,0.0,0.0,0.0
0.351,-582422455.0,1000.0,0.0,1.0,1000.0
0.352,-582422455.0,0.0,0.0,0.0,0.0
0.353,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.354,-582422456.0,0.0,0.0,0.0,0.0
0.355,-582422455.0,1000.0,0.0,1.0,1000.0
0.356,-582422455.0,0.0,0.0,0.0,0.0
0.357,-582422455.0,0.0,0.0,0.0,0.0
0.358,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.359,-582422455.0,1000.0,0.0,1.0,1000.0
0.36,-582422455.0,0.0,0.0,0.0,0.0
0.361,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.362,-582422454.0,2000.0,0.0,2.0,2000.0
0.363,-582422455.0,-1000.0,0.0,-1.0,-1000.0
