Time,MPOS(0),DPOS(0),DRIVE_FE(0),MSPEEDF(0)
0.208,184.96929,184.96929,0.0,0.00429
0.209,184.9693,184.96929,-7.15256e-06,0.00525
0.21,184.96928,184.96929,8.58307e-06,-0.01478
0.211,184.9693,184.96929,-5.24521e-06,0.01526
0.212,184.96929,184.96929,8.10623e-06,-0.01383
0.213,184.96929,184.96929,9.53674e-06,0.0
0.214,184.96929,184.96929,7.15256e-06,0.00143
0.215,184.9693,184.96929,-4.29153e-06,0.00906
0.216,184.96929,184.96929,5.72205e-06,-0.00477
0.217,184.9693,184.96929,-1.00136e-05,0.0124
0.218,184.96929,184.96929,4.29153e-06,-0.01287
0.219,184.96929,184.96929,3.33786e-06,-0.00095
0.22,184.96929,184.96929,2.38419e-06,0.00191
0.221,184.96929,184.96929,7.62939e-06,-0.00334
0.222,184.96929,184.96929,0.0,0.00477
0.223,184.96929,184.96929,4.29153e-06,-0.00477
0.224,184.96929,184.96929,2.86102e-06,0.00334
0.225,184.96929,184.96929,4.76837e-06,-0.00048
0.226,184.9693,184.96929,-4.76837e-06,0.00668
0.227,184.9693,184.96929,-6.19888e-06,0.00238
0.228,184.96929,184.96929,9.53674e-07,-0.00906
0.229,184.96929,184.96929,2.38419e-06,0.00048
0.23,184.9693,184.96929,-2.86102e-06,0.00477
0.231,184.9693,184.96929,-2.38419e-06,0.00048
0.232,184.9693,184.96929,-2.86102e-06,-0.00048
0.233,184.96929,184.96929,6.67572e-06,-0.00811
0.234,184.96929,184.96929,1.90735e-06,0.00429
0.235,184.96929,184.96929,0.0,-0.00095
0.236,184.9693,184.96929,-2.38419e-06,0.00525
0.237,184.9693,184.96929,-1.43051e-06,-0.00048
0.238,184.96929,184.96929,5.24521e-06,-0.00763
0.239,184.96929,184.96929,7.15256e-06,-0.00191
0.24,184.96929,184.96929,2.86102e-06,0.00286
0.241,184.96929,184.96929,3.8147e-06,0.0
0.242,184.9693,184.96929,-1.43051e-06,0.00668
0.243,184.9693,184.96929,-5.24521e-06,0.00238
0.244,184.96929,184.96929,1.90735e-06,-0.00811
0.245,184.96929,184.96929,4.76837e-07,0.00191
0.246,184.96929,184.96929,-9.53674e-07,0.00191
0.247,184.96929,184.96929,4.29153e-06,-0.00429
0.248,184.96929,184.96929,2.86102e-06,0.00191
0.249,184.9693,184.96929,-3.33786e-06,0.0062
0.25,184.96929,184.96929,-4.76837e-07,-0.00381
0.251,184.9693,184.96929,-1.00136e-05,0.01049
0.252,184.96929,184.96929,4.29153e-06,-0.01669
0.253,184.96929,184.96929,1.90735e-06,0.00477
0.254,184.96929,184.96929,-4.76837e-07,0.0
0.255,184.9693,184.96929,-6.67572e-06,0.00715
0.256,184.9693,184.96929,-1.90735e-06,-0.00477
0.257,184.9693,184.96929,-1.00136e-05,0.00954
0.258,184.9693,184.96929,-4.29153e-06,-0.00811
0.259,184.9693,184.96929,-4.76837e-06,0.00048
