Time,DRIVE_CURRENT(0),MSPEED(0),DRIVE_FE(0),DPOS(0)
0.36,5.0,-0.00048,0.0,162.40646
0.361,4.0,0.0,0.0,162.40646
0.362,0.0,0.00095,0.0,162.40646
0.363,1.0,-0.00143,0.0,162.40645
0.364,4.0,0.00095,0.0,162.40646
0.365,8.0,0.0,0.0,162.40646
0.366,9.0,0.0,0.0,162.40646
0.367,5.0,0.00048,0.0,162.40646
0.368,3.0,0.0,0.0,162.40646
0.369,5.0,-0.00095,0.0,162.40646
0.37,4.0,0.0,0.0,162.40646
0.371,5.0,0.0,0.0,162.40646
0.372,-3.0,0.00048,0.0,162.40646
0.373,9.0,0.0,0.0,162.40646
0.374,10.0,0.00048,0.0,162.40646
0.375,6.0,0.0,0.0,162.40646
0.376,6.0,-0.00048,0.0,162.40646
0.377,5.0,0.0,0.0,162.40646
0.378,10.0,0.0,0.0,162.40646
0.379,1.0,0.0,0.0,162.40646
0.38,4.0,0.0,0.0,162.40646
0.381,2.0,-0.00095,0.0,162.40645
0.382,12.0,0.00095,0.0,162.40646
0.383,0.0,-0.00048,0.0,162.40646
0.384,4.0,0.00048,0.0,162.40646
0.385,6.0,-0.00048,0.0,162.40646
0.386,4.0,0.00048,0.0,162.40646
0.387,7.0,0.00048,0.0,162.40646
0.388,4.0,-0.00048,0.0,162.40646
0.389,2.0,0.00048,0.0,162.40646
0.39,10.0,0.0,0.0,162.40646
0.391,6.0,-0.00095,0.0,162.40646
0.392,3.0,0.0,0.0,162.40646
0.393,-7.0,0.00048,0.0,162.40646
0.394,3.0,-0.00048,0.0,162.40646
0.395,3.0,0.0,0.0,162.40646
0.396,-2.0,0.0,0.0,162.40646
0.397,10.0,0.00048,0.0,162.40646
0.398,3.0,0.0,0.0,162.40646
0.399,6.0,0.00048,0.0,162.40646
0.4,5.0,-0.00048,0.0,162.40646
0.401,7.0,-0.00048,0.0,162.40646
0.402,8.0,0.0,0.0,162.40646
0.403,10.0,0.00048,0.0,162.40646
0.404,0.0,-0.00048,0.0,162.40646
0.405,9.0,0.00048,0.0,162.40646
0.406,9.0,0.0,0.0,162.40646
0.407,8.0,-0.00048,0.0,162.40646
0.408,6.0,0.00048,0.0,162.40646
0.409,3.0,-0.00048,0.0,162.40646
0.41,1.0,0.0,0.0,162.40646
0.411,2.0,0.0,0.0,162.40646
0.412,12.0,0.0,0.0,162.40646
0.413,1.0,0.0,0.0,162.40646
0.414,10.0,0.0,0.0,162.40646
0.415,0.0,0.0,0.0,162.40646
0.416,4.0,0.00048,0.0,162.40646
0.417,3.0,-0.00048,0.0,162.40646
0.418,5.0,0.0,0.0,162.40646
0.419,4.0,0.0,0.0,162.40646
0.42,8.0,0.0,0.0,162.40646
0.421,2.0,0.0,0.0,162.40646
0.422,14.0,0.00048,0.0,162.40646
0.423,2.0,-0.00048,0.0,162.40646
0.424,14.0,0.00048,0.0,162.40646
0.425,7.0,-0.00048,0.0,162.40646
0.426,2.0,0.0,0.0,162.40646
0.427,0.0,0.00048,0.0,162.40646
0.428,6.0,-0.00048,0.0,162.40646
0.429,3.0,0.0,0.0,162.40646
0.43,9.0,0.0,0.0,162.40646
0.431,3.0,0.0,0.0,162.40646
0.432,6.0,0.0,0.0,162.40646
0.433,8.0,-0.00048,0.0,162.40645
0.434,4.0,0.0,0.0,162.40645
0.435,5.0,0.00048,0.0,162.40646
0.436,2.0,0.00048,0.0,162.40646
0.437,0.0,0.0,0.0,162.40646
0.438,10.0,0.0,0.0,162.40646
0.439,5.0,0.0,0.0,162.40646
0.44,8.0,0.0,0.0,162.40646
0.441,7.0,-0.00048,0.0,162.40646
0.442,-1.0,0.00048,0.0,162.40646
0.443,3.0,0.0,0.0,162.40646
0.444,5.0,-0.00048,0.0,162.40646
0.445,2.0,0.00048,0.0,162.40646
0.446,3.0,-0.00095,0.0,162.40645
0.447,6.0,0.00048,0.0,162.40646
0.448,8.0,-0.00048,0.0,162.40645
0.449,3.0,0.00095,0.0,162.40646
0.45,4.0,0.0,0.0,162.40646
0.451,9.0,0.0,0.0,162.40646
0.452,16.0,0.0,0.0,162.40646
0.453,-1.0,0.0,0.0,162.40646
0.454,5.0,0.0,0.0,162.40646
0.455,3.0,0.0,0.0,162.40646
0.456,3.0,-0.00095,0.0,162.40645
0.457,2.0,0.00095,0.0,162.40646
0.458,10.0,0.0,0.0,162.40646
0.459,7.0,0.0,0.0,162.40646
0.46,5.0,0.0,0.0,162.40646
0.461,5.0,0.00048,0.0,162.40646
0.462,11.0,-0.00143,0.0,162.40645
0.463,0.0,0.00048,0.0,162.40646
0.464,1.0,-0.00048,0.0,162.40645
0.465,-6.0,0.00095,0.0,162.40646
0.466,11.0,0.00048,0.0,162.40646
0.467,6.0,-0.00095,0.0,162.40646
0.468,1.0,0.0,0.0,162.40646
0.469,6.0,0.0,0.0,162.40646
0.47,8.0,0.0,0.0,162.40646
0.471,1.0,0.0,0.0,162.40646
0.472,6.0,0.0,0.0,162.40646
0.473,6.0,0.0,0.0,162.40646
0.474,6.0,-0.00048,0.0,162.40645
0.475,5.0,0.0,0.0,162.40645
0.476,4.0,0.00048,0.0,162.40646
0.477,1.0,0.0,0.0,162.40646
0.478,10.0,0.0,0.0,162.40646
0.479,9.0,0.0,0.0,162.40646
0.48,0.0,0.0,0.0,162.40646
0.481,-2.0,0.0,0.0,162.40646
0.482,9.0,0.00048,0.0,162.40646
0.483,8.0,0.0,0.0,162.40646
0.484,9.0,-0.00048,0.0,162.40646
0.485,0.0,0.00048,0.0,162.40646
0.486,3.0,0.0,0.0,162.40646
0.487,7.0,-0.00048,0.0,162.40646
0.488,6.0,0.0,0.0,162.40646
0.489,5.0,0.00048,0.0,162.40646
0.49,4.0,0.0,0.0,162.40646
0.491,5.0,-0.00048,0.0,162.40646
0.492,7.0,-0.00048,0.0,162.40645
0.493,0.0,0.00095,0.0,162.40646
0.494,4.0,0.0,0.0,162.40646
0.495,10.0,0.0,0.0,162.40646
0.496,8.0,0.0,0.0,162.40646
0.497,10.0,0.0,0.0,162.40646
0.498,2.0,-0.00048,0.0,162.40646
0.499,2.0,0.00048,0.0,162.40646
0.5,0.0,0.0,0.0,162.40646
0.501,0.0,-0.00048,0.0,162.40646
0.502,0.0,0.0,0.0,162.40646
0.503,8.0,0.0,0.0,162.40646
0.504,7.0,0.00095,0.0,162.40646
0.505,3.0,-0.00048,0.0,162.40646
0.506,0.0,-0.00048,0.0,162.40646
0.507,11.0,0.00048,0.0,162.40646
0.508,0.0,0.0,0.0,162.40646
0.509,5.0,0.00048,0.0,162.40646
0.51,6.0,-0.00048,0.0,162.40646
0.511,6.0,0.00048,0.0,162.40646
0.512,6.0,0.0,0.0,162.40646
0.513,9.0,-0.00048,0.0,162.40646
0.514,-2.0,0.0,0.0,162.40646
0.515,1.0,0.00048,0.0,162.40646
0.516,2.0,-0.00095,0.0,162.40646
0.517,7.0,0.00095,0.0,162.40646
0.518,3.0,0.0,0.0,162.40646
0.519,-2.0,-0.00048,0.0,162.40646
0.52,13.0,0.0,0.0,162.40646
0.521,1.0,0.0,0.0,162.40646
0.522,2.0,0.00048,0.0,162.40646
0.523,4.0,-0.00048,0.0,162.40646
0.524,5.0,0.0,0.0,162.40646
0.525,7.0,0.0,0.0,162.40646
0.526,11.0,0.00048,0.0,162.40646
0.527,7.0,-0.00048,0.0,162.40646
0.528,2.0,-0.00095,0.0,162.40645
0.529,7.0,0.0,0.0,162.40645
0.53,5.0,0.00095,0.0,162.40646
0.531,5.0,0.0,0.0,162.40646
0.532,4.0,0.0,0.0,162.40646
0.533,7.0,-0.00048,0.0,162.40646
0.534,0.0,0.00048,0.0,162.40646
0.535,9.0,-0.00143,0.0,162.40645
0.536,14.0,0.00095,0.0,162.40646
0.537,6.0,0.0,0.0,162.40646
0.538,5.0,0.0,0.0,162.40646
0.539,-3.0,0.00048,0.0,162.40646
0.54,7.0,0.0,0.0,162.40646
0.541,16.0,0.0,0.0,162.40646
0.542,8.0,0.0,0.0,162.40646
0.543,0.0,0.0,0.0,162.40646
0.544,8.0,0.0,0.0,162.40646
0.545,6.0,0.0,0.0,162.40646
0.546,2.0,-0.00048,0.0,162.40646
0.547,7.0,0.0,0.0,162.40646
0.548,7.0,0.0,0.0,162.40646
0.549,7.0,0.00048,0.0,162.40646
0.55,8.0,-0.00048,0.0,162.40646
0.551,0.0,0.00048,0.0,162.40646
0.552,6.0,0.0,0.0,162.40646
0.553,5.0,0.0,0.0,162.40646
0.554,3.0,0.0,0.0,162.40646
0.555,11.0,0.0,0.0,162.40646
0.556,12.0,0.0,0.0,162.40646
0.557,7.0,-0.00048,0.0,162.40646
0.558,0.0,0.0,0.0,162.40646
0.559,6.0,0.00095,0.0,162.40646
0.56,3.0,-0.00048,0.0,162.40646
0.561,3.0,0.00048,0.0,162.40646
0.562,-1.0,-0.00048,0.0,162.40646
0.563,11.0,0.00048,0.0,162.40646
0.564,14.0,-0.00048,0.0,162.40646
0.565,7.0,0.00048,0.0,162.40646
0.566,8.0,0.00048,0.0,162.40646
0.567,1.0,-0.00095,0.0,162.40646
0.568,-1.0,0.0,0.0,162.40646
0.569,2.0,-0.00048,0.0,162.40646
0.57,9.0,0.00048,0.0,162.40646
0.571,3.0,-0.00048,0.0,162.40646
0.572,6.0,0.0,0.0,162.40646
0.573,13.0,0.0,0.0,162.40646
0.574,0.0,0.0,0.0,162.40646
0.575,7.0,0.00048,0.0,162.40646
0.576,5.0,-0.00095,0.0,162.40645
0.577,3.0,0.00048,0.0,162.40646
0.578,10.0,0.00048,0.0,162.40646
0.579,5.0,0.0,0.0,162.40646
0.58,8.0,0.0,0.0,162.40646
0.581,-3.0,-0.00095,0.0,162.40645
0.582,1.0,0.0,0.0,162.40645
